userid,text
qaz1210731,"二刷"
dodylee0107,"吉伊卡哇！"
hyg125,"感謝動畫瘋！"
MilkTea157,"2025.11.24簽"
KingOrange69,"吉依好可愛"
rwan123,"哈嘍"
nehsh101,"簽"
zxc520031,"1"
d3498115,"個"
pikachiuweii,"千"
milkppt,"靠真的好可愛"
Ceadda127,"簽"
bellaliu1230,"好可愛啊😍"
good78221125,"兄弟們 我來了！"
Rei9488,"簽"
IONCHIPS,"總點閱數千萬了，什麼時候出中文續集QAQ"
sunny254ww,"我怎麼可能會輸給吉伊卡哇"
gemmalinn,"巴哈我大哥"
k246836,"兄弟"
a59875987,"😆"
coolmus64,"兄弟"
bubble0315,"這真的超可愛"
jerry990126,"好可愛"
kifar13,"好棒喔  謝謝巴哈"
kkjt1030,"這部很治癒 也有一些恐怖的細節"
smile10101,"可愛"
cathykao1015,"感謝動畫瘋！"
Cute710,"1130611"
ncbob,"體感一分鐘笑爆....XD"
m617007,"簽"
zero77716,"謝謝巴哈大哥"
kateihan0307,"好可愛啊！我的天"
iorimo0u0,"巴哈我大哥啊啊啊啊啊"
zzxcc132465,"兄弟…"
amywei03,"日本"
hongyouc01,"簽"
Angrypig0212,"簽！"
st5109185,"二刷"
kerrypeng62,"五刷"
brianbon,"呀～～～耶"
ray030716,"你知道我要說什麼。(gif"
Noisyfish,"2024/7/3簽:D"
loenyen73,"瘦版烏薩奇"
blight0710,"伊呀哈～"
kevinlin5220,"超三小"
adcw,"(´･ω･`)"
marux3,"兔兔"
hoen0531,"兄弟，你香"
hauch000727,"兄弟..."
tjh0528,"簽"
Euphie617,"這時候聲優還很克制呢，可愛可愛的，後面就"
s2p7hc2r9g,"30秒廣告 進來看1分鐘:）"
JiaRui0719,"簽"
mken,"兄弟"
erichuang80s,"阪急電鐵有搭到"
Mia1020214,"讚讚"
z7957309,"第一次看動畫"
as22768221,"兄弟...兄弟..."
fe6793,"呀哈"
DKLin0218,"兔子玩得那麼開心，我聽了也好開心"
cutez77,"巴哈我大哥啊啊啊啊啊啊！呀～～～～哈～～"
akarimez,"我也想上去彈跳XD!!!!"
s0813707,"20250203"
mia10110060,"怎麼可以那麼可愛"
haru15,"好好吃的感覺"
momoja0405,"我沒了"
g840483938,"可愛死"
xrayxrayxray,"咿呀哈"
t7cct7tc7c8,"好可愛啊啊"
s06578,"好癲我喜歡"
WWW924051,"這也太絲滑"
UwUsb924549,"呀"
inspiration9,"二刷"
yu2501171025,"簽"
K941119,"羊粑粑"
pink20111129,"！！！"
xgu3771,"24／7／18 一刷"
wunuynuy,"呀哈！"
st5109185,"好可愛"
zzx0914,"啊啊啊啊啊啊 好可愛"
g57z2p9hz8,"超愛小八"
orpeter2266,"好可愛R"
sasujiya0214,"這個YA~的配音也太好笑🤣"
a4090851206,"巴哈我大哥"
q3882222,"."
svn77,"兔哥威武"
adcw,"ʕ •ᴥ•ʔ"
qdi201716,"我好像有吉伊卡哇正版小娃娃"
MilkTea157,"2025.11.25簽"
kmc41891,"吉伊值得你儲值付費"
BHSN00004rpu,"兄弟…你好香"
Bananaaa,"截圖當桌布"
DKLin0218,"別怕30秒廣告，因為你會一直重播看1小時"
terryc92,"挖哭挖哭"
Tt97011,"兄弟..."
fkps9450432,"烏薩奇我大兔哥"
thffhrherh5,"兄弟你好香"
yjyjyyjj,"我是兔媽咪"
Wufun123,"嗨"
ryan950623,"三小"
opendassh,"好可愛"
st5109185,"8"
Liny37723,"兄弟"
skfq99492p,"買了會員看不了廣告呢"
egggg0720,"嗚啦 嗚啦 嗚啦"
wwww98347,"可愛！"
n2mdgjrmnx,"嘻嘻"
rc20081109,"巴哈我大哥"
peide256,"你好吉一卡娃"
Euphie617,"我可以重複N次"
QAQ108017,"好可愛"
hs109026,"好可愛"
cjad20010827,"嗚啦"
paz76823361,"好可愛"
Dd090527,"兄弟轉個身"
koorishin,"發現才1分多鐘卻要看30秒廣告，直接買付費:D"
s1080025,"烏"
aliny54689,"好可愛哦😍🥰🥰"
aaazxc348481,"體感一分鐘"
tariuang,"泰可愛辣!"
sy09871601,"強烈建議買會員！！！"
Shsjwi,"兄弟你好香"
zzx0914,"小可愛登場！"
akarimez,"超可愛///////////////////"
laeglel,"烏薩奇~~~~~~~"
murphyhu0219,"30秒的廣告看一分半的小八."
eric200571,"蛤"
aids123die,"2024/11/28 二刷 求更新"
amandalin607,"你好可愛啊🥹"
wugu10416,"好可哀"
Nakobalala,"兄弟 吃統一布丁囉"
egriawei,"開頭就玩食物"
g840483938,"超可愛"
nxjhcfynvq,"好好看啊！"
blight0710,"啊啊啊超可愛 我沒了///"
IamBongu0626,"聽說辱華了 來看看是什麼神作"
designer22,"兄弟"
rosa0812,"簽"
annana566,"好萌喔"
llennskadi,"兄弟...."
Onandoff,"呀!!!!"
enjoyuting,"兄弟…"
a24060535,"為了看 兄弟，你好香 買會員"
Isjskana,"兄弟 轉身 有急事"
IIJiYi107,"我的吉伊宝宝！！"
qwq1204,"好可愛！！！！"
BHSN00002kht,"這三小"
hhhh8514,"兄弟 你好有味道"
redskycity,"吉哇"
Steven1226,"兄弟有急事"
n1073219,"烏薩奇我寶貝"
n5gh98vz4n,"兄弟你好香"
smoonzz,"這三小"
wxiaomei945,"好可愛啊天"
linliyan6008,"布丁兔兔！！！"
Bananaaa,"黏黏黏"
angel1joanne,"啊啊啊可愛"
tsubakilee,"我第一次看"
torappub70,"好可愛喔"
Roubert,"看巴哈那麼久 竟然是因為吉伊卡哇課金"
ch0922,"第一次在巴哈課金就為了吉伊卡哇"
w3616327,"池沼布丁"
wxiaomei945,"我是新粉🤡🤡"
kaito0621,"好可愛😍😍"
c107049,"幹我跟我同學ww"
S1104930830,"首刷 機率下 2024/9/1"
gndr1798,"兄弟，你好香( 。ớ ₃ờ)ھ"
kodgreen59,"卡哇"
hettt5655,"烏拉"
C8763jason,"兄弟 你好香"
jessie78327,"最愛兔哥烏薩奇"
mu317666,"晴空塔有看到這段"
tsubakilee,"有人在嗎嘉義

有人在嗎+1"
Yan705,"我就來看看他在紅什麼"
HeyMeow,"為什麼會有HOMO發言啊！"
BHSN00005180,"兄弟你好香"
TAITAN,"互舔就是另外的分類了"
kekerry75,"可愛"
cupid005,"2024/8/26一刷"
onepluschen,"可愛到爆炸"
Jing54017,"兄弟你好香XD"
badkin,"兄弟"
Lancelot1204,"為了吉伊我脫離當免費仔"
qwq1204,"啊啊啊啊啊好可愛"
badbadtzes,"鷗科"
a8962189,"好可愛～^ _ ^😍"
yk2m6tbvb9,"可愛"
Sonnun,"好可愛🫠"
jnini107040,"咦呀！！！！！"
kateihan0307,"香香的～（？"
Mia1020214,"在的說話"
kevinerrt098,"啊～～～"
dozwang,"^^"
karta2194512,"???"
kodgreen59,"小寶寶們ˊ///ˋ"
a631003,"這隻黃色的好欠打"
jessie78327,"最愛兔哥烏薩奇>///<"
brianbon,"嗅嗅"
yzf8rvkgnk,"海嗨嗨嗨嗨👏👏👏👏👏"
rockman73,"兔子超ㄐ歪"
luckmydog,"真香"
hs109026,"#P可愛"
st5109185,"烏薩奇寶貝"
Furabbit,"好可愛"
keroro9987,"感覺超黏踢踢的"
Alice5555,"在幹嘛"
NOSAJJASON,"吉八"
amy20130605,"看起來很好吃"
kg147369,"呀～～～"
q8882020,"兄弟 你好香阿"
alerub,"好可愛"
fly410149,"可惡 我居然為了吉伊卡哇課金"
tina117,"最喜歡烏薩奇+1～～～"
thffhrherh5,"兄弟 你好甜"
xliu70190,"好可愛"
olivia0127,"兔子可愛寶寶"
shadow121010,"想吃鬆餅"
pikachiuweii,"廣告比影片久XD"
Angela213120,"???"
j1070526,"好可愛喔"
milkppt,"兄弟你好香"
hanning525,"2025.5.15簽到"
Dhkwk,"我12了"
vicky220,"好可愛~"
s1080025,"兔哥"
a4391030,"影片90秒 廣告30秒"
joe71406,"???"
A524gino,"兄弟你好香"
gl0507,"蛤?"
k122662479,"好讚"
Anima0415,"我也要吃布丁"
haps108240,"y"
CATDOG2333,"嗨"
joy613536,"咿咿咿咿咿咿咿咿咿咿咿咿咿咿"
robin7331899,"過半警告"
mo0209,"感謝巴哈上動畫"
s109231,"嗨"
Katie2013,"好可愛"
annana566,"喔我要不行惹"
lois19920926,"課爆!!!!!!!!!!!!!!!!!!!!!!"
rosa0812,"可愛"
s0714eddie,"&2&8/$:7.!/"
haru15,"會有螞蟻XD"
Dhkwk,"我竟然有反應欸！！！"
roucichiu,"口愛"
Luna1023,"我的屁股⬇️"
cxj20130622,"好好吃"
st5109185,"哇"
kbfr,"看到壞鬆餅直接笑出來"
ye978799,"好可愛"
seeso,"碰！"
Yuooo1221,"可愛"
badbadtzes,"五七親愛給內鬧鬧"
wegt458,"你這個壞鬆餅"
qOuOl,"碰"
udte0503,"怎麼到處都有homo阿 (惱"
peter880421,"寶寶!"
jobe13321712,"蛤~"
yukipedia,"兄弟…"
Meatbun1204,"過半警告(也太快xd)"
pinky122116,"<(˙▽˙<)"
ryanwu0615,"好可愛"
Onandoff,"碰"
phone0331,"TV"
ooxx1125,"😯"
s0714eddie,"Isuzu b hsushshushs sixoxiu🫒😂🫒"
sioderdiu2,"瓦勞誒"
Bro0201,"我朋友射了"
nina766335,"兔子好鬧🤣🤣可愛"
Wilfred326,"阿"
annana566,"鬆餅，你好香( 。ớ ₃ờ)ھ"
annana566,"人類：手機先吃"
annana566,"這食物這算不算SM"
chenwenxin,"磅！"
thffhrherh5,"兄弟 想趴你"
Bananaaa,"為什麼要拍？"
yuyan5831,"真的好療癒"
wunuynuy,"什麼可愛小卡通！根本美食節目嗎🧡🧡！"
xman123,"%"
mia7721,"好愛兔兔的精神狀態"
season1011,"我是鬆餅ww"
Newbiesama,"spanking"
qwe30315,"我也想拍打鬆餅"
Jamei0111,"烏薩奇"
Mia1020214,"2月9日"
cwr1120,"🍕"
cjad20010827,"好香啊"
sevenwgsss,"bonk"
jerrywu6380,"好鬧喔www"
BBB122328,"%"
st5109185,"好想吃"
ayiimilk,"哈哈哈"
ching72325,"好可愛"
tiger5567,"謝謝巴哈"
vicky220,"無敵可愛！！"
cecelia0407,"我切切切！"
yqr1009,"超可愛ㄟ"
Furabbit,"好好吃"
shmily120433,"快被可愛死了救命"
BHSN000058k3,"打我屁股"
sunnyjiss6,"食物SM"
JIGUANG2010,"過半警告"
keroro9987,"不要玩食物"
mia7721,"2024/11/11簽"
Angela213120,"???????????????????????????"
yuri930603,"這是太熱再拍坐墊的感覺"
rc20081109,"%%%"
amazingcaty,"感謝巴哈上架超可愛動畫！"
alen940115,"好想扁他們喔"
timlin0808,"wow"
m18322415928,"😋"
n1073219,"我想吃鬆餅🥞"
rvvvv,"吃貨兔兔"
ariel0321,"好可愛"
Ohayouu,"咖哇伊"
s7012806,"讓我想到打女友屁股"
qwe30315,"好想吃"
sholfen,"拍打洛可阿嬤"
hs109026,"#P可愛啊啊"
Bananaaa,"看起來也太好吃"
monkeyyo001,"好吃"
chiinhsuan,"為了吉伊卡哇課金"
g840483938,"可愛"
loenyen73,"烏薩奇跟吉伊卡哇是酒肉朋友"
UUu00329,"兔哥好可愛www"
Kujila510710,"媽的媽的媽的"
bubble0315,"靠吃好快"
aliny54689,"用鏟子切？小八：「對啊」我：「🤣🤣🤣」"
qwe30315,"早餐吃鬆餅"
CATDOG2333,"可愛呀"
peggy062800,"好想吃～"
st5109185,"西"
lonely250,"兔子吃東西好可愛w"
belleee,"好可愛的吉依寶寶 想一口吃掉"
WWW924051,"挖槽 暴風式吞入 也太可愛了吧"
aa91a0112,"什麼奇怪生物"
meng7917,"一個「啊」各種情緒"
Tony15246,"可愛"
kylieisme094,"好可愛😍"
vicky220,"🐸"
kateihan0307,"深淵巨口(⁠ﾉﾟ⁠0ﾟ⁠)⁠ﾉ⁠"
emma061105,"吉伊卡哇在幫動畫瘋賺錢嗎 免廣告的錢"
tsubakilee,"有人跟我一樣晚上看嗎
看了快餓死"
patty902,"想吃鬆餅了哈哈哈哈哈"
chin0924,"一口塞你到底是兔子還是倉鼠"
Griswold,"摸骨摸骨"
a28607,"體感一分鍾…"
s1080025,"體"
zijunwei0202,"我爸爸張文郡"
peach9611,"喜歡看兔兔吃東西超可愛😍"
fuyuyoru030,"啊啊啊啊"
cjad20010827,"暴力吃鬆餅"
smoonzz,"啊啊啊那個超可愛是怎樣啦"
joy613536,"咿咿咿咿咿咿咿咿咿咿咿咿咿咿咿咿咿咿咿"
ann84,"買了買了 月租方案為了看這個XDD"
abc21086999,"?????????"
joanna0321,"30秒的廣告：）"
g840483938,"客愛愛"
asure8888,"不想變只要主流就說討厭，來嘗試了解這三小"
tiff6323,"好可愛喔"
allencgl1,"這到底是三小"
Beeeeeemuuu,"真好用"
dd8842245,"太快就1集了吧"
chenyin09,"yuuyuyu"
ol0SOW0lo,"想像氷川日菜（CV小澤亞里）在幕後鬼叫"
jimmy0416,"晚安"
dodylee0107,"哈哈哈哈哈"
aaaanini0824,"哇啊啊"
SUDU9527,"什麼結束了！？我到底看了什麼？？"
z9ha45pt26xo,"趴！沒了"
kodgreen59,"期待加入小八的演唱:"D"
annana566,"冷知識：已結束，而且片尾很長<(˙▽˙<)"
lina1050091,"蛤"
doggypig2019,"好可愛喔～"
yoyohsu1005,"❤❤❤"
pkpkpk86520,"小知識:兔子外的兩個主要角色都是小孩配的"
vicky220,"超讚ㄉ！！！！！！！"
LiaoWenhua,"不是體感一分鐘，是真的只有一分鐘"
BHSN000058k3,"沒了？？？？？？？？？？？？？？？？？"
evaasgg128,"？？ㄡㄡㄡㄡ"
linliyan6008,"音乐超好听也超可爱~~~"
Lucy08070807,"太廢了吧？"
jnini107040,"(*¯︶¯*)"
nitama487,"時間小偷"
rosa0812,"這到底是三小"
chi525051,"體感90秒"
Tyhbnvfg,"沒了就這樣靠腰啊"
TONKEN,"與"
sevenwgsss,"精神時光屋"
amazingcaty,"期待小八出場！"
tiyu1118,"蛤"
Pooooooooooo,"體感一分鐘"
Tomachen,"不看聲優表死都認不出兔子是小澤亞李"
a4810159,"檔案的小瑪莉cv"
N4070022,"?"
leteargerbob,"要撐到13-14集才開始有劇情喔~~~"
a4391030,"影片90秒 廣告30秒?????"
emma061105,"一分鐘這麼短"
mein589,"?????"
geoguessr,"體感10秒鐘"
amywei03,"日本"
aasw91330,"原來一開始沒有小八唱歌"
sXD324,"蛤"
etal,"XDD"
Lisa2012821,"沒了？？？🖕🖕🖕🖕🖕"
loveyou78912,"本來就一分鐘是在體感三小"
etal,"什麼？沒了？"
FATEMO,"蛤"
a1710199021,"哈哈哈"
qOuOl,"蛤？"
jp956956," 蛤?"
czkcqkqzty,"這到底是什麼鬼"
zaken000,"那個什麼什麼愛哭鼠咩www"
tommy1020712,"？？？？？？？？？？？？？？？？？？？？"
ella0205,"好可愛啊啊啊啊啊啊啊"
sodragon,"?????"
tsubakilee,"沒了？？？？？？？？？？？？？？？？？？"
loenyen73,"沒歌詞"
yu2501171025,"沒了？？？"
a54494028,"嗚哇嗚哇 沒了～"
Zoe1010521,"廣告30秒進來一分鐘"
RTty971105,"我在看什麼？？？"
z9ha45pt26xo,"體感一分鐘"
yyz0329,"好可愛"
Danielyang00,"超廢"
p1997201244,"1分鐘XD"
roubai1203,"泡麵都還沒好"
Sadone2005,"卡拉ok版（X"
kobeleobryan,"？？？？？？？"
tokl2508,"真的體感一分鐘"
A19971212,"體感一分鐘"
