,name,url,area_genre,rating,holiday,dinner_price,lunch_price
0,CONFECT-CONCEPT,https://tabelog.com/tw/tokyo/A1311/A131101/13258304/,稻荷町車站 / 蛋糕,3.63,星期一,-,-
1,Litus,https://tabelog.com/tw/tokyo/A1313/A131301/13255431/,新富町車站 / 西式甜點,3.63,"星期二, 星期三", - JPY 999, - JPY 999
2,東京駅 斑鳩,https://tabelog.com/tw/tokyo/A1302/A130201/13124609/,"東京車站 / 拉麵, 沾麵, 甜食",3.62,-, - JPY 999, - JPY 999
3,ピエール マルコリーニ 銀座本店,https://tabelog.com/tw/tokyo/A1301/A130101/13127566/,"銀座車站 / 巧克力, 咖啡店",3.62,-,"JPY 2,000 - JPY 2,999","JPY 2,000 - JPY 2,999"
4,I'ｍ donut ?グルテンフリー 渋谷青山通り,https://tabelog.com/tw/tokyo/A1303/A130301/13272709/,澀谷車站 / 甜甜圈,3.62,-, - JPY 999, - JPY 999
5,久栄,https://tabelog.com/tw/tokyo/A1313/A131302/13050014/,"月島車站 / 麵包, 西式甜點",3.62,-, - JPY 999, - JPY 999
6,Parlor Vinefru 銀座,https://tabelog.com/tw/tokyo/A1301/A130101/13230462/,"銀座一丁目車站 / 咖啡店, 刨冰, 鬆餅",3.62,-,"JPY 1,000 - JPY 1,999", - JPY 999
7,仏蘭西屋,https://tabelog.com/tw/tokyo/A1301/A130101/13059121/,"銀座車站 / 咖啡館, 三明治, 蛋糕",3.62,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
8,銀座つぼやきいも,https://tabelog.com/tw/tokyo/A1301/A130101/13222597/,"銀座車站 / 烤地瓜/拔絲地瓜, 甜食",3.62,星期一, - JPY 999, - JPY 999
9,プリンチ 代官山T-SITE,https://tabelog.com/tw/tokyo/A1303/A130303/13237363/,"代官山車站 / 麵包, 蛋糕, 咖啡店",3.62,-,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
10,ダ ルチアーノ,https://tabelog.com/tw/tokyo/A1329/A132904/13043497/,"京王堀之內車站 / 意式冰淇淋/冰淇淋, 咖啡店",3.62,-, - JPY 999, - JPY 999
11,パティシエ シマ,https://tabelog.com/tw/tokyo/A1308/A130803/13000285/,"麴町車站 / 蛋糕, 巧克力, 西式甜點",3.62,"星期日, 節假日",-,"JPY 1,000 - JPY 1,999"
12,パスカル・ル・ガック 東京,https://tabelog.com/tw/tokyo/A1308/A130802/13230508/,"溜池山王車站 / 巧克力, 蛋糕, 咖啡店",3.62,星期日,"JPY 3,000 - JPY 3,999","JPY 1,000 - JPY 1,999"
13,トラノコ,https://tabelog.com/tw/tokyo/A1309/A130902/13221607/,"四谷三丁目車站 / 咖啡店, 布丁",3.62,-,-, - JPY 999
14,洋菓子ヴィヨン,https://tabelog.com/tw/tokyo/A1317/A131707/13023844/,"櫻新町車站 / 年輪蛋糕, 蛋糕, 巧克力",3.62,-,-, - JPY 999
15,巴裡 小川軒 サロン・ド・テ 新橋店,https://tabelog.com/tw/tokyo/A1301/A130103/13143677/,"新橋車站 / 咖啡店, 咖啡館, 蛋糕",3.62,"星期日, 節假日","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999"
